term	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm
boolean	False	True	dice	1,1,1,1	0.1661	0.0719	0.0343	0.0093	0.0908	0.1040	0.7909	0.4282
boolean	False	True	dice	1,3,4,1	0.1859	0.0841	0.0401	0.0098	0.1034	0.1141	0.7975	0.4389
boolean	False	True	dice	1,1,1,4	0.1895	0.0736	0.0364	0.0095	0.0998	0.1107	0.8006	0.4445
boolean	False	True	overlap	1,1,1,1	0.1838	0.0855	0.0375	0.0080	0.1022	0.1129	0.7897	0.4343
boolean	False	True	overlap	1,3,4,1	0.2150	0.1011	0.0477	0.0092	0.1213	0.1297	0.7971	0.4457
boolean	False	True	overlap	1,1,1,4	0.1502	0.0583	0.0325	0.0076	0.0803	0.0940	0.7804	0.4100
boolean	True	False	cosine	1,1,1,1	0.2154	0.0947	0.0548	0.0088	0.1216	0.1333	0.8160	0.4588
boolean	True	False	cosine	1,3,4,1	0.2110	0.0854	0.0353	0.0086	0.1106	0.1335	0.8117	0.4518
boolean	True	False	cosine	1,1,1,4	0.1730	0.0706	0.0372	0.0090	0.0936	0.1084	0.7915	0.4233
boolean	True	False	jaccard	1,1,1,1	0.1670	0.0749	0.0284	0.0077	0.0901	0.0992	0.7825	0.4020
boolean	True	False	jaccard	1,3,4,1	0.1650	0.0637	0.0246	0.0078	0.0844	0.0964	0.7597	0.3847
boolean	True	False	jaccard	1,1,1,4	0.1489	0.0413	0.0220	0.0074	0.0707	0.0861	0.6829	0.3354
boolean	True	False	dice	1,1,1,1	0.1670	0.0750	0.0285	0.0078	0.0901	0.0992	0.8038	0.4078
boolean	True	False	dice	1,3,4,1	0.1669	0.0794	0.0326	0.0082	0.0929	0.1043	0.8020	0.4072
boolean	True	False	dice	1,1,1,4	0.1578	0.0530	0.0251	0.0080	0.0786	0.0927	0.8031	0.4028
boolean	True	False	overlap	1,1,1,1	0.1405	0.0643	0.0279	0.0082	0.0776	0.0934	0.7896	0.3956
boolean	True	False	overlap	1,3,4,1	0.1604	0.0603	0.0301	0.0089	0.0836	0.0996	0.8084	0.4251
boolean	True	False	overlap	1,1,1,4	0.1187	0.0473	0.0264	0.0081	0.0641	0.0809	0.7769	0.3696
boolean	True	True	cosine	1,1,1,1	0.2647	0.1178	0.0543	0.0115	0.1456	0.1610	0.8519	0.5128
boolean	True	True	cosine	1,3,4,1	0.2519	0.1135	0.0551	0.0126	0.1402	0.1593	0.8530	0.5209
boolean	True	True	cosine	1,1,1,4	0.2331	0.1094	0.0558	0.0188	0.1328	0.1474	0.8347	0.4878
boolean	True	True	jaccard	1,1,1,1	0.2188	0.0991	0.0384	0.0095	0.1188	0.1295	0.8025	0.4547
boolean	True	True	jaccard	1,3,4,1	0.1953	0.0824	0.0362	0.0126	0.1046	0.1206	0.7883	0.4370
boolean	True	True	jaccard	1,1,1,4	0.1808	0.0706	0.0313	0.0086	0.0943	0.1073	0.6971	0.3835
boolean	True	True	dice	1,1,1,1	0.2342	0.1294	0.0540	0.0099	0.1392	0.1459	0.8406	0.4759
boolean	True	True	dice	1,3,4,1	0.2045	0.0982	0.0443	0.0132	0.1157	0.1309	0.8424	0.4679
boolean	True	True	dice	1,1,1,4	0.2233	0.1221	0.0590	0.0110	0.1348	0.1414	0.8454	0.4851
boolean	True	True	overlap	1,1,1,1	0.1741	0.0807	0.0414	0.0106	0.0987	0.1146	0.8300	0.4643
boolean	True	True	overlap	1,3,4,1	0.2049	0.0905	0.0446	0.0104	0.1133	0.1259	0.8378	0.4737
boolean	True	True	overlap	1,1,1,4	0.1608	0.0728	0.0379	0.0102	0.0905	0.1053	0.8207	0.4413
